"","sample","freq.perc","isotype","timepoint","cohort"
"1012","B75",37.7896613190731,"IGHM","1.PRE","1.Measles"
"1013","B75",18.3373835560956,"IGHA1","2.POST","1.Measles"
"1014","B75",14.8845686512758,"IGHA2","2.POST","1.Measles"
"1015","B75",9.5787768327258,"IGHD","2.POST","1.Measles"
"1016","B75",0.354394491697043,"IGHD/IGHM","2.POST","1.Measles"
"1017","B75",6.81449979748886,"IGHG1","2.POST","1.Measles"
"1018","B75",5.17415957877683,"IGHG2","2.POST","1.Measles"
"1019","B75",0.911300121506683,"IGHG3","2.POST","1.Measles"
"1020","B75",0.172134467395707,"IGHG4","2.POST","1.Measles"
"1021","B75",43.7727825030377,"IGHM","2.POST","1.Measles"
"1022","B78",38.3220702159222,"IGHA1","1.PRE","1.Measles"
"1023","B78",14.2080105488709,"IGHA2","1.PRE","1.Measles"
"1024","B78",4.99423108620405,"IGHD","1.PRE","1.Measles"
"1025","B78",0.0988956650733476,"IGHD/IGHM","1.PRE","1.Measles"
"1026","B78",4.64809625844734,"IGHG1","1.PRE","1.Measles"
"1027","B78",3.09873083896489,"IGHG2","1.PRE","1.Measles"
"1028","B78",0.708752266358991,"IGHG3","1.PRE","1.Measles"
"1029","B78",0.115378275918906,"IGHG4","1.PRE","1.Measles"
"1030","B78",33.8058348442393,"IGHM","1.PRE","1.Measles"
"1031","B78",3.70468377877745,"IGHD","2.POST","1.Measles"
"1032","B78",0.21169621593014,"IGHD/IGHM","2.POST","1.Measles"
"1033","B78",9.02355120402223,"IGHG1","2.POST","1.Measles"
"1034","B78",8.54723471817941,"IGHG2","2.POST","1.Measles"
"1035","B78",2.56681661815295,"IGHG3","2.POST","1.Measles"
"1036","B78",0.291082296903943,"IGHG4","2.POST","1.Measles"
"1037","B78",24.3715268589574,"IGHM","2.POST","1.Measles"
"1038","B78",31.7015083355385,"IGHA1","2.POST","1.Measles"
"1039","B78",19.581899973538,"IGHA2","2.POST","1.Measles"
"1040","B83",39.3849206349206,"IGHA1","1.PRE","1.Measles"
"1041","B83",7.78769841269841,"IGHA2","1.PRE","1.Measles"
"1042","B83",4.26587301587302,"IGHD","1.PRE","1.Measles"
"1043","B83",0.694444444444444,"IGHD/IGHM","1.PRE","1.Measles"
"1044","B83",15.1785714285714,"IGHG1","1.PRE","1.Measles"
"1045","B83",2.57936507936508,"IGHG2","1.PRE","1.Measles"
"1046","B83",0.64484126984127,"IGHG3","1.PRE","1.Measles"
"1047","B83",29.4642857142857,"IGHM","1.PRE","1.Measles"
"1048","B83",24.5769693896952,"IGHA1","2.POST","1.Measles"
"1049","B83",19.1140122948222,"IGHA2","2.POST","1.Measles"
"1050","B83",7.35788072754927,"IGHD","2.POST","1.Measles"
"1051","B83",0.861905063692249,"IGHD/IGHM","2.POST","1.Measles"
"1052","B83",7.87122124342481,"IGHG1","2.POST","1.Measles"
"1053","B83",10.1654097217821,"IGHG2","2.POST","1.Measles"
"1054","B83",0.887255212624374,"IGHG3","2.POST","1.Measles"
"1055","B83",29.1653463464098,"IGHM","2.POST","1.Measles"
"1056","B84",33.8103025347506,"IGHA1","1.PRE","1.Measles"
"1057","B84",25.7154538021259,"IGHA2","1.PRE","1.Measles"
"1058","B84",4.74243663123467,"IGHD","1.PRE","1.Measles"
"1059","B84",0.654129190515127,"IGHD/IGHM","1.PRE","1.Measles"
"1060","B84",1.26737530662306,"IGHG1","1.PRE","1.Measles"
"1061","B84",3.18887980376124,"IGHG2","1.PRE","1.Measles"
"1062","B84",0.163532297628782,"IGHG3","1.PRE","1.Measles"
"1063","B84",30.4578904333606,"IGHM","1.PRE","1.Measles"
"1064","B84",21.0173410404624,"IGHA1","2.POST","1.Measles"
"1065","B84",7.53757225433526,"IGHA2","2.POST","1.Measles"
"1066","B84",8.6242774566474,"IGHD","2.POST","1.Measles"
"1067","B84",1.8728323699422,"IGHD/IGHM","2.POST","1.Measles"
"1068","B84",3.00578034682081,"IGHG1","2.POST","1.Measles"
"1069","B84",4.11560693641619,"IGHG2","2.POST","1.Measles"
"1070","B84",0.23121387283237,"IGHG3","2.POST","1.Measles"
"1071","B84",0.023121387283237,"IGHG4","2.POST","1.Measles"
"1072","B84",53.5722543352601,"IGHM","2.POST","1.Measles"
"1073","B88",41.4521452145215,"IGHA1","1.PRE","1.Measles"
"1074","B88",10.3960396039604,"IGHA2","1.PRE","1.Measles"
"1075","B88",4.35643564356436,"IGHD","1.PRE","1.Measles"
"1076","B88",0.478547854785479,"IGHD/IGHM","1.PRE","1.Measles"
"1077","B88",4.85148514851485,"IGHG1","1.PRE","1.Measles"
"1078","B88",1.76567656765677,"IGHG2","1.PRE","1.Measles"
"1079","B88",1.35313531353135,"IGHG3","1.PRE","1.Measles"
"1080","B88",35.3465346534653,"IGHM","1.PRE","1.Measles"
"1081","B88",0.753596711577986,"IGHD/IGHM","2.POST","1.Measles"
"1082","B88",8.86047042703814,"IGHG1","2.POST","1.Measles"
"1083","B88",31.1486640785567,"IGHA1","2.POST","1.Measles"
"1084","B88",4.83672071249144,"IGHA2","2.POST","1.Measles"
"1085","B88",5.36195478419731,"IGHD","2.POST","1.Measles"
